search_evaluation_id,weighting,search_accuracy_pct,final_accuracy_pct,accuracy_delta_pp,search_mflops,final_mflops,final_route_accuracy_pct,underestimation_count,overestimation_count,dispatcher_checkpoint,selected_shufflenetv2_x0_5_count,selected_shufflenetv2_x0_5_fraction,selected_mobilenetv2_x0_5_count,selected_mobilenetv2_x0_5_fraction,selected_resnet56_count,selected_resnet56_fraction,selected_repvgg_a1_count,selected_repvgg_a1_fraction,final_pareto,catalog_interpolated_accuracy_pct,catalog_interpolated_margin_pp,above_catalog_interpolated_front,chromosome_json
516,ISNS,90.975,90.60000000000001,-0.374999999999992,23.052857000000003,23.430452000000002,89.60000000000001,157,51,artifacts/cifar10/runs/pareto/final/dispatcher-00516.pt,1942,0.971,58,0.029,0,0.0,0,0.0,True,90.34047798421379,0.25952201578621725,True,"[29.82157135116728,26.67392223188869,2.378556123393618,8.072136478295354,94.70639669450614,46.45840226960762,40.441613141536095,1.414879168012341,1.3017809861469498,3.8547927075079116,32.5777028081581,38.69836653548433,12.702469499194727,93.72105843061142,94.24973310944475,26.63408173996181,1.1898417031531057]"
1328,ISNS,90.975,90.60000000000001,-0.374999999999992,23.052857000000003,23.430452000000002,89.60000000000001,157,51,artifacts/cifar10/runs/pareto/final/dispatcher-01328.pt,1942,0.971,58,0.029,0,0.0,0,0.0,True,90.34047798421379,0.25952201578621725,True,"[29.82157135116728,26.67392223188869,2.378556123393618,8.072136478295354,94.70639669450614,46.45840226960762,40.441613141536095,1.414879168012341,1.3017809861469498,3.8547927075079116,32.5777028081581,38.69836653548433,12.702469499194727,93.72105843061142,94.24973310944475,26.63408173996181,1.1898417031531057]"
808,ISNS,91.0125,90.60000000000001,-0.4124999999999934,23.514362000000002,23.877972,89.14999999999999,154,63,artifacts/cifar10/runs/pareto/final/dispatcher-00808.pt,1926,0.963,74,0.037,0,0.0,0,0.0,False,90.39568932458043,0.2043106754195776,True,"[29.82157135116728,26.69067793230977,2.378556123393618,6.698860326701357,59.40366674757086,46.82430731082425,40.441613141536095,37.18127415185321,0.25245652732295554,6.883140340828655,32.5777028081581,37.99297929564978,12.702469499194727,90.6730897508392,94.5185557467422,62.46930052126479,1.3248298884773952]"
1783,ISNS,91.0625,90.7,-0.36249999999999893,23.975867,24.157672,88.7,153,73,artifacts/cifar10/runs/pareto/final/dispatcher-01783.pt,1916,0.958,84,0.042,0,0.0,0,0.0,True,90.429673373834,0.27032662616599623,True,"[32.64154230135583,28.473708849620518,37.253573828325706,6.991389433803766,98.09262654309235,6.631403169224934,82.03225327329682,37.71069522507808,17.366761812468923,30.362297304039487,47.14431762597137,37.892946884876864,78.17262023784151,34.05374535165817,85.04297782019566,63.45856384207306,1.349691632594935]"
2394,ISNS,91.1375,90.9,-0.2375000000000016,24.759027000000003,24.800982,88.05,149,90,artifacts/cifar10/runs/pareto/final/dispatcher-02394.pt,1893,0.9465,107,0.0535,0,0.0,0,0.0,True,90.50636663348823,0.3936333665117786,True,"[60.419933677208505,29.256640416967947,0.6109107332236507,8.241659818883946,55.483693405939846,91.14094681791397,79.87347543247819,79.4484509098329,14.681137618589561,75.87246687854898,87.78212412516086,71.37752194865973,26.124496533215485,70.49853227071779,39.07834192785607,27.134500615759997,1.68148122716314]"
1223,ISNS,91.07499999999999,90.64999999999999,-0.4249999999999976,24.4863195,24.884892,87.55,153,96,artifacts/cifar10/runs/pareto/final/dispatcher-01223.pt,1890,0.945,110,0.055,0,0.0,0,0.0,False,90.51622312988978,0.13377687011021067,True,"[37.26575033595433,27.246605741310677,0.6930233641817516,10.695565308418374,94.69972496867483,74.23950786930106,34.51518330499865,36.633956729229254,1.0325094661727305,75.9716823145055,30.628386493747406,38.206889020014025,32.86647342982075,70.43141924596566,99.1397747285924,23.96526961247138,1.2273395252585528]"
1999,ISNS,91.23750000000001,90.64999999999999,-0.5875000000000075,25.290457,25.248502000000002,87.3,150,104,artifacts/cifar10/runs/pareto/final/dispatcher-01999.pt,1877,0.9385,123,0.0615,0,0.0,0,0.0,False,90.5585540486265,0.09144595137348688,True,"[59.543370082859425,27.911091348421195,36.71170064867745,7.09150273394609,59.53621553875301,5.816787549177818,82.03225327329682,80.726472498893,17.366761812468923,32.659493625283865,47.98564349425426,37.97226341001386,79.19777031367853,34.373632753709074,85.04297782019566,25.849271333000264,1.261299194818019]"
1163,ISNS,91.325,90.9,-0.4249999999999976,25.7169995,25.388352,87.3,147,107,artifacts/cifar10/runs/pareto/final/dispatcher-01163.pt,1872,0.936,128,0.064,0,0.0,0,0.0,False,90.57467305350099,0.3253269464990183,True,"[93.4715914549673,27.906454130401322,37.253573828325706,7.09150273394609,59.380305156546086,6.631403169224934,82.03225327329682,37.71069522507808,17.366761812468923,30.362297304039487,47.98564349425426,37.892946884876864,78.17262023784151,34.05374535165817,85.04297782019566,63.421374780349176,1.3210845825633122]"
2154,ISNS,91.325,90.9,-0.4249999999999976,25.7169995,25.388352,87.3,147,107,artifacts/cifar10/runs/pareto/final/dispatcher-02154.pt,1872,0.936,128,0.064,0,0.0,0,0.0,False,90.57467305350099,0.3253269464990183,True,"[93.4715914549673,27.906454130401322,37.253573828325706,7.09150273394609,59.380305156546086,6.631403169224934,82.03225327329682,37.71069522507808,17.366761812468923,30.362297304039487,47.98564349425426,37.892946884876864,78.17262023784151,34.05374535165817,85.04297782019566,63.421374780349176,1.3210845825633122]"
1117,ISNS,91.3375,91.05,-0.2875000000000072,26.6400095,26.730912,86.15,138,139,artifacts/cifar10/runs/pareto/final/dispatcher-01117.pt,1824,0.912,176,0.088,0,0.0,0,0.0,True,90.72504709864937,0.3249529013506276,True,"[60.60473292493925,16.67544413000474,33.17790898858229,9.791494526965806,58.458095749369754,10.793736247674982,39.63826885687231,1.2041100136568055,1.999621496187686,24.685768955247095,85.86473080223767,18.356797257470056,0.6887374922858402,35.24589070472305,23.61744224698645,61.612759560366314,1.5248606949319634]"
